Hour number,Solar,Wind,SolarTracking
176,0.576595364,0.683287479,0.740620279
177,0.704755765,0.78504438,0.796675618
178,0.738647532,0.819435449,0.821616896
179,0.705747785,0.803489617,0.85040015
180,0.573921127,0.720043813,0.871173195
181,0.453764485,0.574119733,0.882100717
182,0.38629031,0.377347861,0.876759545
183,0.382099807,0.177468555,0.349377014
184,0.392031003,0.027120538,0
185,0.618411029,0,0
186,0.852154073,0,0
187,0.883365464,0,0
188,0.865096898,0,0
189,0.800583855,0,0
190,0.696316838,0,0
191,0.487374961,0,0
192,0.326604953,0,0
193,0.234593204,0,0
194,0.146988321,0,0
195,0.111674733,0,0
196,0.082040927,0.001887248,0.001884611
197,0.052753427,0.091645326,0.086174459
198,0.043874218,0.309885317,0.40692464
199,0.267971863,0.537663123,0.662620486
200,0.661979031,0.694960182,0.755962508
201,0.755561228,0.795037157,0.80734789
202,0.731423847,0.834388155,0.836553305
203,0.707988861,0.815619184,0.862929875
204,0.68966997,0.735305998,0.888534564
205,0.607018209,0.59198982,0.905060678
206,0.528536046,0.391475345,0.898212233
207,0.462969117,0.181314054,0.357462997
208,0.346493597,0.027980384,0
209,0.541713293,0,0
210,0.828416181,0,0
211,0.887630711,0,0
212,0.820240767,0,0
213,0.566743552,0,0
214,0.328225086,0,0
215,0.139568587,0,0
216,0.073696232,0,0
217,0.061223111,0,0
218,0.072442385,0,0
219,0.107228219,0,0
220,0.130217099,0.001770084,0.001767749
221,0.142876672,0.097646442,0.092954227
222,0.149059505,0.31042598,0.408966265
223,0.447104008,0.465096764,0.52581976
224,0.610162867,0.691777457,0.751932104
225,0.641081676,0.784437267,0.796333707
226,0.591899386,0.745260559,0.746602606
227,0.541039457,0.526392061,0.530502502
228,0.501255307,0.458727157,0.477577861
229,0.511959556,0.310818354,0.32857895
230,0.516665518,0.190649626,0.239147985
231,0.47886228,0.06816472,0.1152522
232,0.375251672,0.009711182,0
233,0.370196218,0,0
234,0.373951872,0,0
235,0.376488472,0,0
236,0.375569592,0,0
237,0.252403311,0,0
238,0.086182064,0,0
239,0,0,0
240,0,0,0
241,0.05272583,0,0
242,0.098418686,0,0
243,0.163936029,0,0
244,0.204944988,0.001778317,0.001776099
245,0.201367186,0.110386394,0.121158496
246,0.188123297,0.328502966,0.462363138
247,0.756290099,0.539005609,0.66666225
248,0.848115799,0.696023695,0.758773628
249,0.856740438,0.800081729,0.813115555
250,0.825034878,0.838936263,0.840922408
251,0.810480313,0.820912816,0.867583492
252,0.7536183,0.741143848,0.89311978
253,0.675419712,0.598178802,0.909318515
254,0.608480188,0.398379887,0.904061337
255,0.59263235,0.185953964,0.36849238
256,0.578861843,0.029961161,0
257,0.774209352,0,0
258,0.870137636,0,0
259,0.902012658,0,0
260,0.894051017,0,0
261,0.805718428,0,0
262,0.473014977,0,0
263,0.248726434,0,0
264,0.137052502,0,0
265,0.080560801,0,0
266,0.0555813,0,0
267,0.050305016,0,0
268,0.058146921,0.001834327,0.001832159
269,0.061044942,0.116624246,0.135877825
270,0.054861366,0.333199872,0.474347464
271,0.581332789,0.545544911,0.678005086
272,0.905652732,0.704776112,0.769615394
273,0.923351717,0.810407472,0.824026279
274,0.890399443,0.848301938,0.850230485
275,0.845618753,0.830407811,0.877232803
276,0.773059484,0.748667325,0.900937067
277,0.738670054,0.605526875,0.918097347
278,0.707363164,0.405029919,0.914460106
279,0.689298118,0.189969421,0.377197659
280,0.660184258,0.031004588,0
281,0.823612285,0,0
282,0.920381852,0,0
283,0.92745723,0,0
284,0.924405819,0,0
285,0.900885011,0,0
286,0.886905025,0,0
287,0.821229639,0,0
288,0.683379915,0,0
289,0.54358595,0,0
290,0.396963616,0,0
291,0.26999582,0,0
292,0.185129218,0.001747957,0.001746004
293,0.147960004,0.117598877,0.13791984
294,0.135477682,0.332851275,0.476799483
295,0.833226989,0.547646145,0.684113254
296,0.918265068,0.71081298,0.777808621
297,0.900974358,0.81676774,0.830945323
298,0.856661266,0.854588392,0.856447984
